=== Cenário B ===
gen	avg	max	min	std
164	6673718.1811	7763930.8817	0.0000	2666498.3549
165	6541743.6832	7763930.8817	0.0000	2805876.1839
166	6615823.2613	7763930.8817	0.0000	2725061.6476
167	6894431.7633	7763930.8817	0.0000	2402354.7635
168	6596958.5109	7763930.8817	0.0000	2747137.4173
169	6679965.3575	7763930.8817	0.0000	2646108.5785
170	6479064.5523	7763930.8817	0.0000	2828722.6644
171	6487546.9421	7763930.8817	0.0000	2843430.8902
172	6487145.6288	7763930.8817	0.0000	2854086.2085
173	6653451.5615	7763930.8817	0.0000	2681603.8088
174	6653181.4130	7763930.8817	0.0000	2683337.1563
175	6562527.5350	7763930.8817	0.0000	2781421.7429
176	6599855.0922	7763930.8817	0.0000	2747881.8615
177	6540201.4279	7763930.8817	0.0000	2800460.9713
178	6500515.3669	7763930.8817	0.0000	2822484.4346
179	6401198.1479	7763930.8817	0.0000	2923916.2239
180	6446504.2216	7763930.8817	0.0000	2868759.8497
181	6581725.9834	7763930.8817	0.0000	2734158.4770
182	6455526.5352	7763930.8817	0.0000	2877595.9750
183	6627909.6862	7763930.8817	0.0000	2707956.6349
184	6649091.2442	7807266.7083	0.0000	2675360.9909
185	6681540.7964	7915317.7605	0.0000	2660393.3080
186	6368059.8573	7915317.7605	0.0000	2961077.7778
187	6660710.3033	7915317.7605	0.0000	2671641.1328
188	6545187.3876	7968037.5751	0.0000	2786824.8475
189	6542109.8390	7968037.5751	0.0000	2828018.3900
190	6838029.7942	7968037.5751	0.0000	2620025.3881
191	6454879.7178	7968037.5751	0.0000	3030811.9206
192	6675156.7522	7968037.5751	0.0000	2892554.3800
193	6770220.8841	7968037.5751	0.0000	2821198.7275
194	6907530.8374	7968037.5751	0.0000	2679881.6197
195	6662586.2626	7968037.5751	0.0000	2907219.0252
196	6772453.4326	7968037.5751	0.0000	2798121.7429
197	6794013.1965	7968037.5751	0.0000	2788498.0278
198	6758188.3828	8072682.6591	0.0000	2822007.1665
199	6763706.9032	8072682.6591	0.0000	2823665.2054
200	6595728.8641	8072682.6591	0.0000	2978507.9724
201	6760816.1868	8072682.6591	0.0000	2841985.2471
202	7086298.2546	8072682.6591	0.0000	2527737.3734
203	6894183.7142	8072682.6591	0.0000	2770400.9240
204	7050193.4564	8072682.6591	0.0000	2645214.3043
205	6731384.4671	8072682.6591	0.0000	2966796.3750
206	6951640.3575	8072682.6591	0.0000	2759676.1083
207	6686257.8132	8072682.6591	0.0000	3016209.9246
208	7033605.2389	8072682.6591	0.0000	2670113.2151
209	6829949.6855	8072682.6591	0.0000	2873328.2821
210	6778133.8560	8072682.6591	0.0000	2929296.8045
211	6531024.5505	8072682.6591	0.0000	3140316.6756
212	7047199.3809	8072682.6591	0.0000	2649427.1570
213	6838856.3372	8072682.6591	0.0000	2867899.4886
214	6849702.5420	8072682.6591	0.0000	2850217.1336
215	6751114.6008	8072682.6591	0.0000	2961669.0750
216	6837401.2722	8072682.6591	0.0000	2835256.0205
217	6961936.3019	8072682.6591	0.0000	2764832.6150
218	6939955.2352	8072682.6591	0.0000	2771792.0474
219	7190913.7094	8072682.6591	0.0000	2455973.2103
220	6983850.0955	8072682.6591	0.0000	2733423.8717
221	6478430.3103	8072682.6591	0.0000	3172995.4954
222	6808526.3804	8072682.6591	0.0000	2899205.4025
223	6842116.8677	8072682.6591	0.0000	2870072.0211
224	6838996.1721	8072682.6591	0.0000	2872169.1946
225	6942356.0478	8072682.6591	0.0000	2780192.2003
226	6730785.2492	8072682.6591	0.0000	2984103.5535
